year,rainfall,basin type
1981,68041.27344,Ica Basin
1982,60980.67188,Ica Basin
1983,37120.13672,Ica Basin
1984,80118.125,Ica Basin
1985,48184.61719,Ica Basin
1986,79789.57813,Ica Basin
1987,49606.37891,Ica Basin
1988,56648.33203,Ica Basin
1989,77608.85938,Ica Basin
1990,46579.19141,Ica Basin
1991,47777.60938,Ica Basin
1992,29645.6875,Ica Basin
1993,69398.92188,Ica Basin
1994,72223.48438,Ica Basin
1995,53151.45313,Ica Basin
1996,56360.98828,Ica Basin
1997,55062.38672,Ica Basin
1998,74098.57813,Ica Basin
1999,79102.34375,Ica Basin
2000,56387.24609,Ica Basin
2001,57537.73047,Ica Basin
2002,46968.06641,Ica Basin
2003,41469.55859,Ica Basin
2004,38001.64844,Ica Basin
2005,37855.13672,Ica Basin
2006,54573.55469,Ica Basin
2007,39341.81641,Ica Basin
2008,63468.09375,Ica Basin
2009,64376.37109,Ica Basin
2010,51323.45703,Ica Basin
2011,141580.7813,Ica Basin
2012,100850.8047,Ica Basin
2013,113056.4375,Ica Basin
2014,110413.0938,Ica Basin
2015,104463.6875,Ica Basin
2016,72019.64844,Ica Basin
2017,126644.5547,Ica Basin
2018,120325.0469,Ica Basin
2019,130424.8672,Ica Basin
2020,98837.69531,Ica Basin
1981,81925.1875,Ica and Villacuri
1982,75214.92188,Ica and Villacuri
1983,45117.28125,Ica and Villacuri
1984,96601.21094,Ica and Villacuri
1985,59314.40234,Ica and Villacuri
1986,95808.53125,Ica and Villacuri
1987,59608.13281,Ica and Villacuri
1988,68260.82813,Ica and Villacuri
1989,93828.85938,Ica and Villacuri
1990,55854.69531,Ica and Villacuri
1991,58052.32422,Ica and Villacuri
1992,36750.54297,Ica and Villacuri
1993,83977.95313,Ica and Villacuri
1994,86870.22656,Ica and Villacuri
1995,63158.80078,Ica and Villacuri
1996,66970.79688,Ica and Villacuri
1997,65765.15625,Ica and Villacuri
1998,88278.34375,Ica and Villacuri
1999,92525.375,Ica and Villacuri
2000,64396.56641,Ica and Villacuri
2001,66073.5,Ica and Villacuri
2002,54556.53906,Ica and Villacuri
2003,48532.20313,Ica and Villacuri
2004,44429.05078,Ica and Villacuri
2005,44252.68359,Ica and Villacuri
2006,63107.88281,Ica and Villacuri
2007,46727.70313,Ica and Villacuri
2008,73917.66406,Ica and Villacuri
2009,75327.60938,Ica and Villacuri
2010,60866.65625,Ica and Villacuri
2011,171344.7656,Ica and Villacuri
2012,120404.5234,Ica and Villacuri
2013,138737.2188,Ica and Villacuri
2014,136833.8125,Ica and Villacuri
2015,127972.3047,Ica and Villacuri
2016,88826.45313,Ica and Villacuri
2017,155993.7813,Ica and Villacuri
2018,148643.3906,Ica and Villacuri
2019,160846.6719,Ica and Villacuri
2020,122144.9219,Ica and Villacuri
1981,9802.466797,Villacuri Basin
1982,11277.2168,Villacuri Basin
1983,6207.455078,Villacuri Basin
1984,12827.7373,Villacuri Basin
1985,9117.335938,Villacuri Basin
1986,12508.89258,Villacuri Basin
1987,7355.879883,Villacuri Basin
1988,8791.900391,Villacuri Basin
1989,12380.91602,Villacuri Basin
1990,7136.463867,Villacuri Basin
1991,7879.859863,Villacuri Basin
1992,5539.59082,Villacuri Basin
1993,11557.08105,Villacuri Basin
1994,11339.95215,Villacuri Basin
1995,7129.256348,Villacuri Basin
1996,8149.737793,Villacuri Basin
1997,8083.409668,Villacuri Basin
1998,11335.43359,Villacuri Basin
1999,9886.621094,Villacuri Basin
2000,6072.744629,Villacuri Basin
2001,6234.306152,Villacuri Basin
2002,5655.265625,Villacuri Basin
2003,5510.460938,Villacuri Basin
2004,4858.156738,Villacuri Basin
2005,4748.089844,Villacuri Basin
2006,6388.645996,Villacuri Basin
2007,5514.465332,Villacuri Basin
2008,7758.327637,Villacuri Basin
2009,7791.586426,Villacuri Basin
2010,7077.776367,Villacuri Basin
2011,23332.97461,Villacuri Basin
2012,15356.14844,Villacuri Basin
2013,19736.81055,Villacuri Basin
2014,20731.76953,Villacuri Basin
2015,17898.6875,Villacuri Basin
2016,13164.18066,Villacuri Basin
2017,22916.75586,Villacuri Basin
2018,21641.88867,Villacuri Basin
2019,23505.85352,Villacuri Basin
2020,17800.59375,Villacuri Basin
