month,rainfall,year
1,23525.7207,2020
2,20412.83789,2020
3,24374.85938,2020
4,3344.382324,2020
5,2470.696045,2020
6,1011.275269,2020
7,547.4625854,2020
8,618.7633057,2020
9,2200.18457,2020
10,4709.085938,2020
11,2418.250488,2020
12,13204.17285,2020
1,13504.75781,2010
2,7321.161133,2010
3,7823.918945,2010
4,3649.124268,2010
5,1195.02063,2010
6,883.3501587,2010
7,378.9910583,2010
8,467.6296692,2010
9,1537.373901,2010
10,3994.793213,2010
11,1947.734741,2010
12,8619.601563,2010
1,13727.41016,2000
2,11574.75098,2000
3,12418.68066,2000
4,3425.446777,2000
5,1171.930542,2000
6,708.7859497,2000
7,391.6751404,2000
8,458.4284363,2000
9,1133.083618,2000
10,2965.290527,2000
11,1470.770142,2000
12,6940.993652,2000
1,12228.89648,1990
2,3623.920166,1990
3,9416.888672,1990
4,2408.066162,1990
5,1568.945801,1990
6,912.9863892,1990
7,504.5294495,1990
8,607.5982666,1990
9,1669.053223,1990
10,2993.423828,1990
11,3418.213867,1990
12,7226.67041,1990
1,15451.35645,1980
2,13004.47949,1980
3,18216.81445,1980
4,4852.740234,1980
5,1135.332642,1980
6,786.4406738,1980
7,427.1624451,1980
8,701.1079712,1980
9,1274.031372,1980
10,2623.364746,1980
11,2039.078857,1980
12,7529.361328,1980
